DateTime,Date,Volume,Transaction,Value,Open,High,Low,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,Close
2018-12-18,20181218,30270541,10521,6713448829,221.0,223.0,220.5,-,1.0,23567648.0,25338304.0,-1770656.0,218000,580000,-362000,305000,740000.0,435000.0,-1827656,16.46,3.66,3.6,222.5
2018-12-19,20181219,23415082,7875,5255393450,222.0,225.5,222.0,+,3.0,19271010.0,16115025.0,3155985.0,520000,249000,271000,-492000,190000.0,682000.0,2934985,16.68,3.71,3.55,225.5
2018-12-20,20181220,38697116,10528,8573665030,221.0,222.5,221.0,-,4.5,22593374.0,33565690.0,-10972316.0,273000,107000,166000,359785,747000.0,387215.0,-10446531,16.35,3.64,3.62,221.0
2018-12-21,20181221,46947532,9554,10401202852,219.0,224.0,219.0,+,2.5,35564870.0,36874161.0,-1309291.0,98000,349000,-251000,-321412,575000.0,896412.0,-1881703,16.53,3.68,3.58,223.5
2018-12-22,20181222,5185247,2229,1145814834,220.0,221.5,220.0,-,2.0,704000.0,3202000.0,-2498000.0,13000,0,13000,-243000,139000.0,382000.0,-2728000,16.38,3.65,3.61,221.5
2018-12-24,20181224,23376100,6122,5151549100,221.5,221.5,219.5,-,1.5,13347100.0,20839000.0,-7491900.0,25000,53000,-28000,36000,235000.0,199000.0,-7483900,16.27,3.62,3.64,220.0
2018-12-25,20181225,19402777,8065,4198767163,215.5,218.0,215.0,-,2.5,6475100.0,11927000.0,-5451900.0,99238,596869,-497631,-1896000,119000.0,2015000.0,-7845531,16.09,3.58,3.68,217.5
2018-12-26,20181226,16893259,6998,3678108462,218.5,219.5,216.0,-,1.0,10301000.0,10342000.0,-41000.0,44000,375000,-331000,-946000,358000.0,1304000.0,-1318000,16.01,3.56,3.7,216.5
2018-12-27,20181227,21915484,9531,4874845852,222.0,224.0,220.5,+,6.5,17366274.0,8399626.0,8966648.0,36000,70000,-34000,24000,1016000.0,992000.0,8956648,16.49,3.67,3.59,223.0
2018-12-28,20181228,30156773,10247,6762447425,223.5,225.5,222.5,+,2.5,26290469.0,15011011.0,11279458.0,21000,63000,-42000,-1059000,209000.0,1268000.0,10178458,16.68,3.71,3.55,225.5
2019-01-02,20190102,32900482,12329,7276419230,226.5,226.5,219.0,-,6.0,13633825.0,22365017.0,-8731192.0,175000,166000,9000,-794000,925000.0,1719000.0,-9516192,16.24,3.61,3.64,219.5
2019-01-03,20190103,34615620,14549,7459051790,214.0,218.0,214.0,-,4.0,14327199.0,28959678.0,-14632479.0,8000,47000,-39000,1043000,1365000.0,322000.0,-13628479,15.94,3.55,3.71,215.5
2019-01-04,20190104,67043521,28786,13987136785,211.5,211.5,206.5,-,7.5,20975300.0,49516680.0,-28541380.0,31000,2457000,-2426000,2689000,3145000.0,456000.0,-28278380,15.38,3.42,3.85,208.0
2019-01-07,20190107,35695176,11224,7591116569,212.0,214.0,211.0,+,5.0,27607176.0,23450094.0,4157082.0,53000,472000,-419000,1055000,1615000.0,560000.0,4793082,15.75,3.51,3.76,213.0
2019-01-08,20190108,23794481,9377,5019703557,212.0,212.5,210.0,-,2.0,17819710.0,17073728.0,745982.0,55000,1438000,-1383000,-104000,627000.0,731000.0,-741018,15.61,3.47,3.79,211.0
