DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2016-02-02,25400,7725,144.0,144.5,141.5,142.5,-,1.5,19342,16905,2436,37,1,36,1185,1878,693,3657
2016-02-03,71652,18892,145.0,146.0,144.5,146.0,+,3.5,64246,30797,33448,30,17,13,-1411,401,1812,32050
2016-02-15,77064,21814,142.0,146.5,142.0,145.0,-,1.0,62699,61724,974,134,15,118,448,1904,1456,1541
2016-02-16,56361,17135,146.0,148.0,145.5,147.5,+,2.5,47880,30875,17004,20,212,-192,616,1514,898,17429
2016-02-17,38486,13872,149.0,149.0,147.0,148.0,+,0.5,30486,16405,14081,87,93,-6,1802,3366,1564,15877
2016-02-18,61877,22057,150.0,151.0,149.5,151.0,+,3.0,54796,19365,35431,120,34,86,-595,514,1109,34922
2016-02-19,37444,10981,149.0,151.0,149.0,151.0, ,0.0,32997,22250,10747,71,92,-21,841,1198,357,11567
2016-02-22,29751,9155,149.5,152.5,149.5,151.0, ,0.0,24721,10019,14701,45,60,-15,-280,1356,1636,14406
2016-02-23,22500,8897,150.5,151.0,149.0,149.5,-,1.5,15344,13550,1794,66,126,-60,462,685,223,2196
2016-02-24,22082,7979,149.5,150.5,147.0,148.0,-,1.5,15040,13886,1154,0,96,-96,83,744,661,1141
2016-02-25,25233,11234,149.0,151.0,148.5,150.5,+,2.5,23302,8709,14593,54,25,29,-644,450,1094,13978
2016-02-26,46425,9939,151.0,151.5,148.0,149.0,-,1.5,35157,29642,5514,207,605,-398,2541,2646,105,7657
2016-03-01,44046,12003,148.5,152.0,148.5,152.0,+,3.0,37320,28884,8436,316,155,161,-320,202,522,8277
2016-03-02,36101,11075,154.0,154.5,153.0,153.0,+,1.0,28723,14352,14370,858,69,789,7,373,366,15166
2016-03-03,28867,10112,154.0,154.5,153.0,154.0,+,1.0,26475,10117,16358,0,64,-64,-1118,77,1195,15176
2016-03-04,37794,10724,153.0,153.5,151.5,152.5,-,1.5,28781,29045,-264,0,401,-401,1405,1834,429,739
2016-03-07,24052,7324,152.5,153.5,151.0,152.0,-,0.5,19263,19286,-22,296,202,94,141,567,426,212
2016-03-08,40643,13764,151.0,152.0,149.5,152.0, ,0.0,32456,25931,6524,99,240,-141,889,1359,470,7272
2016-03-09,24634,9423,152.0,153.0,150.5,153.0,+,1.0,22674,10467,12206,6,375,-369,-625,427,1052,11212
2016-03-10,31343,10930,153.0,154.5,151.5,154.5,+,1.5,28878,14777,14100,316,303,13,-1327,222,1549,12786
2016-03-11,31297,11727,154.5,155.0,153.0,155.0,+,0.5,28609,13517,15091,238,69,169,-424,431,855,14836
2016-03-14,32987,11927,156.5,157.5,155.5,156.0,+,1.0,25996,7425,18570,12,387,-375,100,884,784,18295
2016-03-15,29437,12260,155.0,156.5,153.0,154.5,-,1.5,22319,15151,7167,20,406,-386,440,1325,885,7221
2016-03-16,31126,9853,155.5,156.0,154.0,156.0,+,1.5,27655,13982,13672,50,236,-186,285,1014,729,13771
2016-03-17,52228,14989,159.5,160.0,157.5,158.5,+,2.5,47350,16559,30790,0,380,-380,-2228,588,2816,28182
2016-03-18,57866,12106,158.5,159.5,158.5,159.5,+,1.0,54811,28581,26230,255,369,-114,-539,105,644,25577
2016-03-21,27687,9380,160.0,160.0,158.0,160.0,+,0.5,24319,11718,12601,5,261,-256,313,519,206,12658
2016-03-22,29303,11945,159.5,159.5,157.0,158.5,-,1.5,22180,17766,4413,0,93,-93,770,1335,565,5090
