DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,ForeignVol,TrustVol,DealerVol,InvestorsVol,Pattern,Trend,InvestorsNet_Dir,ForeignNet_Dir,TrustNet_Dir,DealerNet_Dir,Dir2
2017-10-30,30241,10609,242.0,245.0,241.5,243.0,+,4.0,24259,19762,4497,189,363,-174,-25,492,517,4298,17.96,4.7,2.88,44021,552,1009,45582,0,0,1,1,0,0,1
2017-10-31,22582,8176,243.5,245.0,241.5,243.0, ,0.0,17210,18052,-842,152,283,-131,-795,408,1203,-1768,17.96,4.7,2.88,35263,435,1611,37309,0,0,0,0,0,0,0
2017-11-01,20465,6464,243.5,245.0,241.5,242.5,-,0.5,8733,13579,-4845,106,59,47,1177,1347,170,-3621,17.92,4.69,2.89,22313,165,1517,23995,0,0,0,0,1,1,2
2017-11-02,16309,5912,242.0,242.5,240.5,241.0,-,1.5,10877,11247,-370,17,272,-255,-430,188,618,-1056,17.81,4.66,2.9,22125,289,806,23221,0,0,0,0,0,0,2
2017-11-03,18327,5621,240.5,241.0,238.5,239.0,-,2.0,10606,15285,-4679,19,83,-64,681,875,194,-4062,17.66,4.62,2.93,25891,102,1069,27062,0,0,0,0,0,1,2
2017-11-06,21029,6601,243.5,244.0,239.0,239.5,+,0.5,15687,14773,914,18,7,11,-1179,610,1789,-253,17.7,4.63,2.92,30461,25,2399,32885,1,0,0,1,1,0,1
2017-11-07,21689,6729,242.0,244.0,241.5,244.0,+,4.5,18869,8926,9942,234,27,207,-258,181,439,9891,18.03,4.72,2.87,27796,261,620,28677,0,0,1,1,1,0,1
2017-11-08,14579,4610,243.0,243.5,242.0,242.5,-,1.5,8624,11967,-3343,82,42,40,568,623,55,-2735,17.92,4.69,2.89,20591,124,678,21393,2,0,0,0,1,1,2
2017-11-09,21366,6339,240.5,243.0,240.0,241.0,-,1.5,14903,16726,-1823,134,134,0,172,430,258,-1651,17.81,4.66,2.9,31629,268,688,32585,0,0,0,0,1,1,2
2017-11-10,15061,4465,240.0,242.0,239.5,240.5,-,0.5,11532,11246,285,155,28,127,-622,230,852,-209,17.78,4.65,2.91,22779,183,1082,24044,0,0,0,1,1,0,2
